priogrid_gid,year,month,best,low,high,hist_mean,honest_sigma,tight_classical,honest_classical,tight_parametric,honest_parametric,tight_bs,honest_bs,tight_bounds,honest_bounds,tight_rvi,honest_rvi,tight_rvi_bs,honest_rvi_bs
81037.0,2020.0,1.0,4.0,4.0,4.0,6.884615421295166,0.5720062615019237,0.04761557404670494,0.573159381729683,0.2789625391772697,0.045877455935167205,1.3576005622449026,1.0843780742895495,,,0.8350673847462984,0.3602921180984147,2.8404826752131975,2.2839196704669193
81037.0,2020.0,2.0,3.0,3.0,3.0,6.884615421295166,0.5720062615019237,0.03497171374811586,0.41940440773214527,0.2091042716396567,0.028579268670555335,0.9742973923373915,0.7712597596744684,,,0.4018833768390148,0.1646581014767715,1.3826358501495626,1.146802971946849
81037.0,2020.0,4.0,1.0,1.0,1.0,6.884615421295166,0.5720062615019237,0.011761088846778556,0.14166199313151367,0.06964027863755366,0.011227071729817467,0.3038202497589781,0.24540834204057924,,,0.38009314278095097,0.21192939245727244,1.3657509707458093,1.1666010943057576
81037.0,2020.0,5.0,2.0,2.0,2.0,6.884615421295166,0.5720062615019237,0.023770236557186866,0.28308704791648165,0.13929368877481274,0.02150453225946484,0.5414118276356116,0.4565268606324303,,,0.4234627604003992,0.23676607574490446,1.7738016921135227,1.5511479403013257
81037.0,2020.0,7.0,7.0,7.0,7.0,6.884615421295166,0.5720062615019237,0.08142848615739737,0.9931865884666897,0.488970465837238,0.07695986999915089,1.9759708958984787,1.6631927093379153,,,1.2454622535946254,0.5021019185079194,3.7290890353851296,3.0947463273137235
81037.0,2020.0,8.0,1.0,1.0,45.0,6.884615421295166,0.5720062615019237,0.011689847529893941,0.14400728624559322,0.06972007267894982,0.011719908357092522,0.3169538318817107,0.24880270100331878,0.22988174901007813,0.0397441269405648,0.37853082796157334,0.21895030204831165,1.3104375633155347,1.1502401849536705
81037.0,2020.0,10.0,1.0,1.0,1.0,6.884615421295166,0.5720062615019237,0.011632314138535643,0.1360971020942312,0.0696165007158061,0.00935567187292218,0.31370503477084266,0.2513644468077785,,,0.3784484706553666,0.22654675429768978,1.1517087044493954,1.0079090020547428
81037.0,2020.0,11.0,5.0,5.0,23.0,6.884615421295166,0.5720062615019237,0.05772237354240514,0.6820052911278744,0.34968014571784806,0.04316291932377709,1.5390598227767438,1.2460372490186276,0.33672111045708786,0.04951051479008412,0.9750511482014674,0.45845509713351873,2.774546376847835,2.3450127915448045
81037.0,2021.0,4.0,2.0,2.0,2.0,6.884615421295166,0.5720062615019237,0.023939652032440605,0.26616014063290916,0.13846466895912984,0.015994326651819022,0.6351170512982542,0.49956899138433786,,,0.42372389502775404,0.24707768884955075,1.4583922436327978,1.30328965963724
81037.0,2021.0,6.0,6.0,6.0,6.0,6.884615421295166,0.5720062615019237,0.07280023778118208,0.8469248964023794,0.4159404335733056,0.06291925267455474,1.7309662714018321,1.4163004025781247,,,1.1089779386507967,0.4911779112499968,3.550714614202056,2.9286434022670806
81037.0,2021.0,7.0,73.0,73.0,73.0,6.884615421295166,0.5720062615019237,0.8364351581267115,10.252172706516838,5.099636466476989,0.7272245269236203,23.727572134275253,19.088724081121022,,,7.703228053816951,4.23596125426787,21.76976110336156,19.420257121503763
81037.0,2021.0,8.0,2.0,2.0,2.0,6.884615421295166,0.5720062615019237,0.022975561360397682,0.29082455264852847,0.1396346042670199,0.024076976321599292,0.591198755195066,0.4828952820995626,,,0.4232480698400537,0.22620371887038665,1.805750812391487,1.6013524099080927
81037.0,2021.0,9.0,4.0,4.0,4.0,6.884615421295166,0.5720062615019237,0.046870848566406845,0.5586057576118229,0.2786341216918152,0.0412306038772169,1.3505091253600363,1.0894769247900198,,,0.8327876786924442,0.36733997691967724,2.736947596822704,2.280110803549496
81037.0,2022.0,1.0,1.0,1.0,1.0,6.884615421295166,0.5720062615019237,0.01174763455153479,0.13591154414244655,0.06957489041196545,0.009372007450821772,0.29964538091980364,0.2413426618945028,,,0.3796132760147061,0.2273584610842548,1.1510858696056747,1.0132637382882799
81037.0,2022.0,2.0,1.0,0.0,1.0,6.884615421295166,0.5720062615019237,0.011758744351451578,0.1428385515850163,0.06980214493771206,0.010938223926281354,0.3625841699308661,0.28494145334971505,,,0.37926709293141525,0.22269680730812824,1.3193574210930634,1.1615508367936895
81037.0,2022.0,4.0,2.0,0.0,2.0,6.884615421295166,0.5720062615019237,0.023356774925223325,0.28072537931412045,0.1398648165576826,0.02113240193290631,0.6786155265285143,0.5420704993635521,,,0.4240283011559837,0.22832375259062493,1.371969963016187,1.2233920031981775
81037.0,2023.0,6.0,1.0,0.0,1.0,6.884615421295166,0.5720062615019237,0.01194365277793748,0.137874115982639,0.06961985849199084,0.009352835165483237,0.31669094433197137,0.25497560288826787,,,0.379559360606419,0.22900734819374946,1.4116591932303317,1.2479276009722255
85938.0,2020.0,2.0,7.0,7.0,7.0,7.5625,0.6028326742531939,0.08202640881925957,1.0373406232035953,0.48742978244243085,0.09832186777503053,2.061560083344493,1.7377402778626367,,,1.2437306438061027,0.5281996183197315,4.146785948386151,3.411427874434738
85938.0,2020.0,12.0,2.0,2.0,2.0,7.5625,0.6028326742531939,0.023348914669145987,0.29778761816128396,0.13900459786990269,0.027492631018030334,0.6201061127336781,0.506942157231801,,,0.42364872320828895,0.22779687132193477,1.5681330318754254,1.3630065452489009
85938.0,2021.0,1.0,12.0,12.0,12.0,7.5625,0.6028326742531939,0.13929448363749153,1.7977466523920933,0.8388208534592595,0.17122677381095663,3.9397075811604325,3.235902333350659,,,1.8727333430086321,0.8146762101545774,6.283129052934952,5.054798717381932
85938.0,2021.0,2.0,8.0,8.0,8.0,7.5625,0.6028326742531939,0.09225246591578443,1.2093149485032426,0.5584944975673632,0.12044559835875998,2.5614009838072875,2.103530920666378,,,1.3858505972823982,0.567768180899466,3.9473781620113577,3.2687457310941785
85938.0,2021.0,4.0,10.0,10.0,10.0,7.5625,0.6028326742531939,0.11541820489703702,1.4975919245955445,0.7012895662325578,0.14489884326563296,3.3379138017409002,2.6413907963581424,,,1.627674736652597,0.6909229196041148,4.685523009112268,3.885694736043305
85938.0,2021.0,6.0,1.0,1.0,1.0,7.5625,0.6028326742531939,0.011644086068290063,0.14669378651275639,0.06987956419638928,0.012550720425467536,0.30628162210992554,0.2481064191246125,,,0.3797085247760619,0.21876822157121573,1.236233407708855,1.079476945880092
85938.0,2021.0,12.0,70.0,70.0,70.0,7.5625,0.6028326742531939,0.8134474751151959,10.4016603835584,4.886780607556769,0.9572193238411189,25.342139012283322,19.490396252421846,,,7.390560245642502,4.330289062220694,21.14222872547405,18.444873661648977
85938.0,2022.0,3.0,10.0,10.0,10.0,7.5625,0.6028326742531939,0.11600839485356018,1.5083953725767678,0.6996990514330135,0.15476774503272386,3.042278934295731,2.5287632355033383,,,1.6278182189908985,0.6594745591122637,5.907715556572473,4.679855883619293
85938.0,2022.0,4.0,11.0,11.0,11.0,7.5625,0.6028326742531939,0.13024060914032481,1.5783396763313435,0.7614265671926465,0.12878507117568902,3.4413226882263235,2.773242195892335,,,1.7446042224258114,0.7631870163006523,5.37347043154242,4.409840097296823
85938.0,2022.0,7.0,1.0,1.0,1.0,7.5625,0.6028326742531939,0.011432451500585545,0.14773297241057198,0.06982745051607367,0.013827446667297447,0.3193125903259709,0.254654068000789,,,0.37885037891550866,0.21190809987884027,0.984682821834561,0.8486144716477995
