priogrid_gid,year,month,best,low,high,post_mean,tight_classical,honest_classical,tight_parametric,honest_parametric,tight_bs,honest_bs,tight_bounds,honest_bounds,tight_rvi,honest_rvi,tight_rvi_bs,honest_rvi_bs
81037,2018,5,11.0,11,11,0.0,11.0,11.0,9.262378585376782,9.262378585376782,,,,,12.802747381520406,12.802747381520406,,
81037,2019,4,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
81037,2019,11,3.0,3,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
81037,2020,1,4.0,4,4,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,,,4.8344513819832455,4.8344513819832455,,
81037,2020,2,3.0,3,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
81037,2020,4,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
81037,2020,5,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
81037,2020,7,7.0,7,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,,,8.268401497994892,8.268401497994892,,
81037,2020,8,1.0,1,45,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,0.7716229902828495,0.7716229902828495,1.3189942293604584,1.3189942293604584,,
81037,2020,10,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
81037,2020,11,5.0,5,23,0.0,5.0,5.0,4.210172084262172,4.210172084262172,,,4.223751365052771,4.223751365052771,5.9834901584665445,5.9834901584665445,,
117778,2017,7,33.0,33,33,0.0,33.0,33.0,27.787135756130343,27.787135756130343,,,,,37.31831767706909,37.31831767706909,,
117778,2017,11,9.0,9,9,0.0,9.0,9.0,7.578309751671913,7.578309751671913,,,,,10.54048831147479,10.54048831147479,,
118497,2017,1,19.0,19,19,0.0,19.0,19.0,15.998653920196256,15.998653920196256,,,,,21.78155766940595,21.78155766940595,,
119939,2017,1,27.0,27,603,0.0,27.0,27.0,22.734929255015732,22.734929255015732,,,21.129584778257648,21.129584778257648,30.681242997856284,30.681242997856284,,
119939,2017,2,3.0,3,3,0.2552472815841611,2.737420364511651,2.639253625028857,2.263523231806871,2.1653225973365564,,,,,3.063422224852193,2.965235019671601,,
120642,2017,4,58.0,58,58,0.0,58.0,58.0,48.8379961774412,48.8379961774412,,,,,64.73014448104604,64.73014448104604,,
120654,2017,2,30.0,30,30,0.01637740063597448,29.98312213466947,29.96883371960257,25.249782505573044,25.230204868854294,,,,,33.99207327912851,33.97249564240976,,
120657,2020,2,2.0,2,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
120659,2017,5,7.0,7,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,,,8.268401497994892,8.268401497994892,,
121376,2020,3,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
121376,2020,6,2.0,0,2,0.0,2.0,2.0,1.6840688337048693,1.6840688337048693,,,,,2.390062858081326,2.390062858081326,,
121377,2017,4,3.0,3,3,0.0029397972393780947,2.996972421532599,2.994186915751925,2.522728250557304,2.5203332310260538,,,,,3.322608115725682,3.320213125087771,,
121377,2017,12,3.0,3,3,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,,,3.325982999261554,3.325982999261554,,
121377,2020,1,3.0,3,4,0.0,3.0,3.0,2.5261032505573042,2.5261032505573042,,,2.8835958587007937,2.8835958587007937,3.325982999261554,3.325982999261554,,
121377,2020,3,5.0,5,5,0.0,5.0,5.0,4.210172084262172,4.210172084262172,,,,,5.9834901584665445,5.9834901584665445,,
121377,2020,4,7.0,7,7,0.0,7.0,7.0,5.894240917967042,5.894240917967042,,,,,8.268401497994892,8.268401497994892,,
121377,2020,6,55.0,55,55,0.0,55.0,55.0,46.311892926883914,46.311892926883914,,,,,61.45744685966779,61.45744685966779,,
121379,2017,4,4.0,4,8,0.0,4.0,4.0,3.3681376674097385,3.3681376674097385,,,3.658743142306477,3.658743142306477,4.8344513819832455,4.8344513819832455,,
121379,2017,7,189.0,189,189,0.0,189.0,189.0,159.14450478511017,159.14450478511017,,,,,205.2228925278653,205.2228925278653,,
121379,2017,8,50.0,50,50,0.7942013856954873,49.18240703858583,49.046612468104286,41.284313359809225,41.14894069125454,,,,,55.17651290748412,55.04114023892942,,
122096,2019,10,6.0,6,6,0.0,6.0,6.0,5.052206501114608,5.052206501114608,,,,,7.12782370522377,7.12782370522377,,
122096,2020,12,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
122097,2020,2,1.0,1,1,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,,,1.3189942293604584,1.3189942293604584,,
123538,2019,5,20.0,20,20,0.0,20.0,20.0,16.84068833704869,16.84068833704869,,,,,19.723301566308027,19.723301566308027,,
123538,2019,6,1.0,1,12,0.0,1.0,1.0,0.8420344168524346,0.8420344168524346,,,0.7986965211304323,0.7986965211304323,1.3189942293604584,1.3189942293604584,,
123538,2020,1,21.0,21,21,0.0,21.0,21.0,17.68272275390113,17.68272275390113,,,,,24.01271690594487,24.01271690594487,,
